,Name,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Jupiter Tisserand Invariant,Epoch Osculation,Semi Major Axis,Asc Node Longitude,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,approach_year,approach_month,approach_day,Orbital Period,Orbit Uncertainity,Hazardous
0,3703080,788947000000.0,Very Slow,22017.0038,13680.50994,0.41948253,163.1787109,62753692.0,38993336.0,5.126265167737331,2458000.5,1.407011303,314.3739134,57.25746988,2.005763673,2458172.58,264.8375333,0.590551388,1995.0,1.0,1.0,Low,Medium,True
1,3723955,789552000000.0,Slow,65210.34609,40519.17311,0.25822102652097634,100.70988334300175,57298148.0,35603420.0,5.126265167737331,2458000.5,1.107775954,136.7172417,185.14892384053795,1.497352293,2457794.969,173.741112,0.845329788,1995.0,1.0,1.0,Low,Low,False
2,2446862,789552000000.0,,27326.56018,16979.6618,0.050956016,19.82188988,7622911.5,4736657.5,4.557,2458000.5,1.458823814,259.4759789,248.4150381,1.966856672,2458120.468,182.73523715752074,0.7610904264177131,1995.0,1.0,8.0,Medium,Low,True
3,3092506,790157000000.0,Very Slow,40225.94819,24994.83986,0.25822102652097634,100.70988334300175,38424405.43229847,26522368.0,5.093,2458000.5,1.3582424092109981,57.17326613,185.14892384053795,1.527904212,2457902.337,68.74100662,0.700277196,1995.0,1.0,15.0,Low,Medium,False
4,3514799,790157000000.0,Very Slow,35426.99179,31312.45573536955,0.407832171,158.6467133,61010824.0,23911784.835555866,5.154,2458000.5,1.225614737,84.62930679,158.2635961,1.8981149729040065,2457814.455,182.73523715752074,0.7610904264177131,1995.0,1.0,15.0,Low,Low,True
5,3671135,790762000000.0,,38911.83825,24178.30305,0.392784784,100.70988334300175,38424405.43229847,36511628.0,4.724,2458000.5,1.32353218,178.9719508,185.14892384053795,2.069264572,2458172.58,354.2373683,0.7610904264177131,1995.0,1.0,15.0,Low,Low,False
6,2495323,790762000000.0,Very Slow,38911.82972,31312.45573536955,0.392783196,152.7926636,38424405.43229847,36511480.0,4.724,2458000.5,1.323532162,178.9719526,198.1459599,1.8981149729040065,2458009.403,354.2373962,0.647295109,1995.0,1.0,15.0,Low,Low,False
7,2153315,790762000000.0,Fast,87918.78238,54629.31231,0.129179161,50.25069427,19324928.0,23911784.835555866,4.921,2458000.5,1.3582424092109981,112.5629844,288.3746511,1.794044544,2458172.58,186.7769323,0.7610904264177131,1995.0,1.0,22.0,Low,Low,False
8,2162463,790762000000.0,,62545.62181,31312.45573536955,0.358282927,100.70988334300175,53598364.0,23911784.835555866,5.386,2458000.5,1.145550849,80.21113209,353.4223941,1.418397017,2458172.58,182.73523715752074,0.7610904264177131,1995.0,1.0,22.0,Low,Low,False
9,2306383,790762000000.0,Slow,46438.595,28855.13699,0.151805742,59.05243301,22709816.0,14111226.0,5.126265167737331,2458000.5,0.876125367,172.1857897060477,185.14892384053795,1.8981149729040065,2457900.77,182.73523715752074,1.201862243,1995.0,1.0,22.0,Low,Low,True
